date,rf,mkt,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136
12/31/99,,3093.699951,,0.689999998,5.119999886,,3.849999905,,20.60000038,2.329999924,7.099999905,16.29100037,2.160000086,10.68000031,,3.359999895,2.680000067,11.85000038,8.579999924,2.519999981,5.050000191,20.70000076,,4.989999771,0.028999999,,2.799999952,41.02000046,2.329999924,25.93000031,3.980000019,0.600000024,1.059999943,0.579999983,7.78000021,,19.45000076,5,7.599999905,8.029999733,21.55999947,2.480000019,1.389999986,3.799999952,3.849999905,,,,,10.42000008,4.300000191,13.14999962,4.510000229,,9.199999809,2.440000057,1.409999967,,2.319999933,2.75999999,2.75999999,,3.900000095,,,,3.849999905,,0.790000021,5.809999943,21,3.25,,3.099999905,,3.359999895,,25.62000084,,0.589999974,22.5,5.150000095,11.85000038,,14.64999962,2.349999905,8.199999809,1.980000019,,11.89999962,19.04999924,,,3.789999962,7.300000191,,,1,33,6.650000095,1.450000048,5.050000191,20.70000076,,,5.090000153,3.900000095,11.52000046,5.400000095,,3.150000095,,6.980000019,,,4.989999771,,,4.71999979,4.159999847,8.159999847,10.05000019,0.889999986,3.099999905,7.079999924,8.159999847,5.5,,,,,2.119999886,2.819999933,10.31000042,12.36999989,,5.150000095,11.44999981
1/31/00,0.004381873,3080.199951,,0.689999998,4.909999847,,3.700000048,,24.07999992,2.25,6.550000191,15.19999981,1.960000038,10.55000019,,3.319999933,2.450000048,12.69999981,7.96600008,2.390000105,4.96999979,18.74500084,,4.929999828,0.052999999,,2.670000076,37.19100189,2.269999981,26.10000038,3.730000019,0.639999986,1.054999948,0.600000024,7.599999905,,20.54000092,5,6.849999905,8.789999962,23.09300041,2.400000095,1.419999957,3.789999962,3.700000048,,,,,10.60000038,4.039999962,15.19999981,4.78000021,,9.199999809,2.440000057,1.600000024,,2.339999914,3.127000093,3.127000093,,3.75,1.02699995,,,3.700000048,,0.74000001,5.630000114,19.95000076,3.25,,3.019999981,,3.319999933,,23.89999962,,0.560000002,21.83099937,3.869999886,12.69999981,3.180000067,18.45000076,2.380000114,7.800000191,1.674999952,,12.39999962,19.70000076,5.03000021,,3.829999924,7.079999924,,,1.019999981,27.85300064,7.449999809,1.350000024,4.96999979,18.74500084,,,5.179999828,3.180000067,12,5.579999924,,3.319999933,,6.800000191,,,4.929999828,,,4.849999905,4.25,8.163999557,8.515999794,0.829999983,2.400000095,6.519999981,7.800000191,6.050000191,,,,,1.899999976,2.710999966,10.6420002,12.44999981,,4.869999886,11.60999966
2/29/00,0.004601954,3124.600098,,0.49000001,5.300000191,,3.779999971,,17.85000038,2.140000105,6,14.79100037,1.610000014,10.01000023,,3.421000004,2.5,15.18799973,6.119999886,2.299999952,5.440000057,16.09199905,2.329999924,5.110000134,0.046999998,,2.700000048,40.90000153,2.099999905,24.99200058,3.230000019,0.519999981,1.120000005,0.779999971,6.820000172,,21.96199989,4.900000095,6.853000164,8.5,21.79999924,2.150000095,1.25999999,3.549999952,3.779999971,,,,,12.39999962,4.277999878,17,5.71999979,,8.577381939,2.559999943,1.399999976,,2.349999905,2.910000086,2.910000086,,3.700000048,1.100000024,,,3.650000095,,0.75,4.75,21.39999962,2.890000105,,3.329999924,,3.421000004,,25.73999977,,0.469999999,21.39999962,4.349999905,15.18799973,2.700000048,23.73399925,1.248999953,6.659999847,1.620000005,,15.19200039,20.84199905,5.300000191,,3.559999943,7.400000095,,,0.949999988,23.29999924,12.01000023,1.139999986,5.440000057,16.09199905,,,6,3.700000048,11.10000038,5.110000134,,3.349999905,,6.920000076,,,5.110000134,,,5.739999771,3.829999924,7.71999979,9.699999809,0.74000001,2.650000095,6.78000021,7.642000198,6.699999809,,,,,1.75,2.660000086,10.39999962,12.39400005,,4.989999771,9.300000191
3/31/00,0.00461337,3133.300049,,0.49000001,4.5,,3.170000076,,15.35999966,2.019999981,5.708000183,15.56000042,1.575000048,10.39999962,,3.207999945,2.200000048,13.80000019,6.441999912,2.411999941,5.06400013,17.84199905,2.25999999,5.25,0.050000001,,2.35800004,41.90000153,1.950000048,22.54000092,4.099999905,0.600000024,1.100000024,1.669999957,6.5,,22.93099976,4.449999809,7.809999943,7.710000038,20.5,2.25,1.269999981,3.299999952,3.170000076,,0.610000014,,,12.35000038,4.090000153,18.25,5.949999809,,8,2.549999952,1.625,,2.230000019,3.130000114,3.130000114,,3.599999905,1.090000033,,,3.676000118,,0.620000005,4.743000031,21.29100037,2.819999933,,3.339999914,,3.207999945,,26.39999962,,0.416999996,21.18000031,3.299999952,13.80000019,3.34800005,23.02000046,1.429999948,6.449999809,1.5,,13.98999977,22.85000038,5.449999809,,3.440000057,7,,,0.899999976,23.41500092,5.75,1,5.06400013,17.84199905,,,7.300000191,3.799999952,10.74100018,4.550000191,,3.440000057,,5.949999809,,,5.25,,,4.679999828,3.855999947,7.599999905,9.25,0.800000012,2.700000048,7.399000168,7.599999905,8.729999542,,,,,1.309999943,2.782999992,10.31299973,11.66499996,,5.110000134,9.899999619
4/28/00,0.00474851,3115.800049,,0.449999988,4.760000229,,3.200000048,,15.27000046,2.380000114,5.070000172,15,1.440000057,11.84000015,,3.230000019,2.099999905,12.69999981,7.110000134,2.5,5.079999924,18.44000053,2,5.059999943,0.039999999,,2.470000029,48.20000076,1.899999976,26.07999992,4.093999863,0.560000002,1.100000024,0.839999974,6.412000179,,22.25,4.480000019,6.986999989,7.849999905,20.60000038,2.269999981,1.291000009,3.400000095,3.200000048,,0.444999993,,,8.159999847,4.326000214,18.75,4.949999809,,7.590000153,2.650000095,1.600000024,,2.279999971,3.549999952,3.549999952,,3.75,1.070000052,,,3.900000095,,0.600000024,4.53000021,18.55599976,3.5,,3.420000076,,3.230000019,,23.60000038,,0.439999998,23.45999908,3.420000076,12.69999981,3.049999952,21.74600029,1.279999971,6.769999981,1.549999952,,13.30000019,24.5,6.050000191,,3.670000076,7.19299984,,,0.829999983,25.43700027,6,1.25,5.079999924,18.44000053,,,5.900000095,3.190000057,11.35000038,5.050000191,,3.470000029,,5.699999809,,,5.059999943,,,4.800000191,3.900000095,8.267999649,9.166000366,0.680000007,3.099999905,7.190000057,7.340000153,8.199999809,,,,,1.409999967,2.74000001,10.93000031,11.91899967,,5.762000084,10.59000015
5/31/00,0.004866177,3081,,0.389999986,4.559999943,,2.869999886,,4.5,2.200000048,5.039999962,15.22099972,1.669999957,12.14099979,,3.25,2.200000048,9.899999619,7.186999798,2.609999895,4.739999771,17.80999947,1.889999986,5.099999905,0.033,,2.529999971,47.99900055,2.00999999,27.88100052,3.400000095,0.5,1.123000026,0.730000019,6.300000191,,25.09600067,4.650000095,6.842999935,7.699999809,23.70000076,2.400000095,1.149999976,3.25,2.869999886,,0.460000008,,,8.399999619,4.260000229,19.45000076,4.599999905,,8.800000191,2.609999895,1.659999967,,2.299999952,3.519999981,3.519999981,,3.938999891,1.120000005,,,3.953000069,,0.600000024,4.71999979,19.89999962,3.529999971,,3.532999992,,3.25,,23.90999985,,0.419999987,26.09900093,3.579999924,9.899999619,3.019999981,19.80900002,1.379999995,7.099999905,1.610000014,,12.89999962,25,5.5,,3.24000001,6.659999847,,,0.870000005,25.0340004,4.25,1.399999976,4.739999771,17.80999947,,,6.599999905,2.549999952,11.68000031,5,,3.559999943,,5.949999809,,,5.099999905,,,4.75,4.5,8.256999969,9.300000191,0.680000007,3.407999992,6.099999905,6.800000191,8.199999809,,,,,0.99000001,2.279999971,11.94999981,11.39999962,,5.800000191,13.23999977
6/30/00,0.004759145,3311.199951,,0.425000012,4.78000021,,2.599999905,,5.650000095,2.400000095,5.84100008,17,1.49000001,12.81000042,2.289999962,3.322000027,2.299999952,11.44999981,7.47300005,2.599999905,4.920000076,19.75,2.099999905,5.230000019,0.027000001,,2.512000084,51.33599854,2.119999886,27.69000053,3.25,0.519999981,1.080000043,0.699999988,6.414000034,,28.75799942,4.489999771,8.590000153,7.949999809,33.03499985,2.869999886,1.241999984,3.450999975,2.599999905,,0.74000001,,,9.75,4.699999809,19,4.702000141,,9.100000381,2.690000057,1.799999952,,2.309999943,3.763999939,3.763999939,,4.781000137,1.152999997,,,4.388999939,2.289999962,0.699999988,5.380000114,21.30800056,3.819999933,,3.390000105,,3.322000027,,26.07999992,,0.349999994,27.89800072,4.5,11.44999981,3.25,23,1.610000014,7.578000069,1.830000043,,12.85000038,25.96999931,5.75,,3.380000114,8.171999931,,,0.829999983,27.61899948,4.65899992,1.350000024,4.920000076,19.75,,,7.086999893,3.641000032,11.40100002,5.429999828,,3.525000095,,6.877999783,,,5.230000019,,,5.596000195,5.090000153,8.621999741,9.600000381,0.769999981,3.757999897,5.900000095,6.78000021,9.854000092,,,,,0.99000001,2.299999952,12.05000019,13.30000019,,6.164999962,13
7/31/00,0.004800188,3251.100098,,0.395000011,5.090000153,,3,,5.800000191,2.690000057,5.56799984,17.29999924,1.5,13.01000023,2.180000067,3.359999895,1.929999948,10.94999981,7.72300005,2.480000019,4.869999886,18.25,2.150000095,5.210000038,0.037999999,,2.579999924,50.09999847,2.630000114,27.79599953,3.25999999,0.730000019,1.110000014,0.850000024,6.590000153,,27.08300018,4.699999809,7.829999924,8.479999542,34,2.880000114,1.289999962,3.349999905,3,,0.693814377,,,10.85000038,4.737999916,19.14999962,4.75,,9.100000381,2.779999971,1.860000014,,2.349999905,3.900000095,3.900000095,,4.730000019,1.120000005,,,4.559999943,2.180000067,0.699999988,5.849999905,20.81999969,3.839999914,,3.579999924,,3.359999895,,25.10000038,,0.379999995,24.76000023,4.176000118,10.94999981,3.400000095,20.89999962,1.731999993,7.445000172,1.669999957,,13.14999962,27.79999924,5.949999809,,3.960000038,7.800000191,,,1.080000043,25.84199905,4.800000191,1.549999952,4.869999886,18.25,,,7.170000076,3.480000019,11.35000038,5.269999981,,3.743999958,,6.5,,,5.210000038,,,5.900000095,5.460999966,8.75,9.5,1.019999981,3.849999905,5.599999905,7.110000134,9.649999619,,,,,1.149999976,2.410000086,12.26599979,12.85000038,,6.059999943,12.67000008
8/31/00,0.005154245,3297.800049,,0.379999995,5.050000191,,3.150000095,,6.260000229,2.480000019,5.514999866,17.81999969,1.559999943,13.02999973,2.299999952,3.390000105,1.879999995,12.21000004,8.159000397,2.690000057,4.909999847,18.96699905,2.128999949,5.380000114,0.037999999,,2.50999999,49.20800018,2.5,27.68300056,3.940000057,0.689999998,1.129999995,0.810000002,7.21999979,,28.74600029,4.769999981,8.199999809,8.5,35.52700043,2.849999905,1.360000014,3.279999971,3.150000095,,0.647318993,,,10.55000019,4.099999905,22.5,5.090000153,,8.949999809,2.619999886,1.799999952,,2.650000095,3.880000114,3.880000114,,4.46999979,1.179999948,,,3.665999889,2.299999952,0.680000007,6.420000076,20.45100021,3.549999952,,3.640000105,,3.390000105,,27,,0.485000014,25.39999962,4.05700016,12.21000004,3.299999952,22.625,1.980000019,6.230000019,1.690000057,,14.49400043,30.39999962,5.789999962,,3.940000057,8.649999619,,,1.108999968,26.7329998,6.050000191,1.460000038,4.909999847,18.96699905,,,7.459000111,3.839999914,11.55000019,6,,3.74000001,,7.050000191,,,5.380000114,,,6.289999962,5.849999905,8.880000114,9.850000381,1.059999943,3.40899992,4.828000069,6.309999943,10.25,,,,,1.220000029,2.220000029,12.64900017,14.13500023,,6.849999905,14.30000019
9/29/00,0.005184501,3298.800049,,0.49000001,4.880000114,,2.099999905,,6.599999905,2.410000086,5.100999832,16.39999962,1.534000039,13.27999973,2.299999952,3.299999952,1.77,10.56999969,7.622000217,2.650000095,5.119999886,19.14999962,1.975999951,5.400000095,0.035999998,,2.450000048,48.25899887,2.62,27.60000038,3.75,0.670000017,1.110000014,0.699999988,7.143000126,,27.84900093,4.5,8.350000381,8.100000381,34.70000076,2.339999914,1.279999971,3.279999971,2.099999905,,0.610381838,,,12.21000004,4.300000191,21.54999924,4.699999809,,9.180000305,2.579999924,1.620000005,,2.349999905,4.099999905,4.099999905,,4.18900013,1.139999986,,,3.59100008,2.299999952,0.66,6.313000202,20.79999924,3.690000057,,3.5,,3.299999952,,28.07999992,,0.419999987,25.50699997,3.930000067,10.56999969,3.039999962,26,1.899999976,5.734000206,1.580000043,,13.39999962,33.29999924,5.349999905,,3.556999922,8.75,,,1.350000024,24.75,6.099999905,1.580000043,5.119999886,19.14999962,,,7.478000164,3.150000095,11.19299984,6.050000191,,3.717000008,,7.369999886,,,5.400000095,,,6.300000191,6.300000191,8.958000183,9.5,1.100000024,3.700000048,4.590000153,6.039999962,10.65999985,,,,,1.129999995,1.539999962,12.75,13.35000038,,6.743999958,13.69499969
